,city,train_len,train_RMSE,test_RMSE,class
0,Opfikon_Balsberg,12.0,6.174088738820603,10.46294680865809,high traffic
0,StGallen_Blumenbergplatz,12.0,6.682506345618664,8.2147826514857,low traffic
0,StGallen_Stuelegg,12.0,2.833749755472774,3.0533516476110454,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.219069356780438,7.197704736919529,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.818371152581737,9.763235390803327,low traffic
0,Opfikon_Balsberg,18.0,6.23184665451193,9.687942367028885,high traffic
0,StGallen_Blumenbergplatz,18.0,6.4433448208775,7.464192591423782,low traffic
0,StGallen_Stuelegg,18.0,2.5924266148157695,2.923332992090343,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.583907236395481,7.366810326814251,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.796931669179884,8.938006721909854,low traffic
0,Opfikon_Balsberg,24.0,6.7372625618342274,7.54321344352578,high traffic
0,StGallen_Blumenbergplatz,24.0,6.900303029703189,7.2836376058971,low traffic
0,StGallen_Stuelegg,24.0,2.933992031222531,2.689752853304212,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.972260586867325,8.71164510378191,low traffic
